name,date,country
Node1,NA,NA
Node2,NA,NA
Node3,NA,NA
Node4,NA,NA
Node5,NA,NA
EPI_ISL_412459_2020-01-08_China-Hubei_BetaCoV/Jingzhou/HBCDC-HB-01/2020,2020-01-08,China
Node6,NA,NA
Node7,NA,NA
Node8,NA,NA
Node9,NA,NA
Node10,NA,NA
Node11,NA,NA
Node12,NA,NA
Node13,NA,NA
Node14,NA,NA
MT135041_2020-01-26_China-Beijing_SARS-CoV-2/105/human/2020/CHN,2020-01-26,China
Node15,NA,NA
Node16,NA,NA
Node17,NA,NA
Node18,NA,NA
Node19,NA,NA
MT135042_2020-01-28_China-Beijing_SARS-CoV-2/231/human/2020/CHN,2020-01-28,China
MT135044_2020-01-28_China-Beijing_SARS-CoV-2/235/human/2020/CHN,2020-01-28,China
EPI_ISL_412870_2020-01-30_Korea_BetaCoV/Korea/KCDC06/2020,2020-01-30,Korea
EPI_ISL_407193_2020-01-25_Korea_BetaCoV/Korea/KCDC03/2020,2020-01-25,Korea
Node20,NA,NA
MT135043_2020-01-28_China-Beijing_SARS-CoV-2/233/human/2020/CHN,2020-01-28,China
EPI_ISL_412871_2020-01-31_Korea_BetaCoV/Korea/KCDC07/2020,2020-01-31,Korea
Node21,NA,NA
Node22,NA,NA
EPI_ISL_413513_2020-02-27_Korea_hCoV-19/SouthKorea/KUMC03/2020,2020-02-27,Korea
EPI_ISL_413514_2020-02-27_Korea_hCoV-19/SouthKorea/KUMC04/2020,2020-02-27,Korea
Node23,NA,NA
EPI_ISL_413515_2020-02-27_Korea_hCoV-19/SouthKorea/KUMC05/2020,2020-02-27,Korea
EPI_ISL_413516_2020-02-27_Korea_hCoV-19/SouthKorea/KUMC06/2020,2020-02-27,Korea
MT123292_2020-01-27_China-Guangdong_SARS-CoV-2/IQTC04/human/2020/CHN,2020-01-27,China
Node24,NA,NA
Node25,NA,NA
EPI_ISL_411926_2020-01-24_China-Taiwan_BetaCoV/Taiwan/3/2020,2020-01-24,China
Node26,NA,NA
Node27,NA,NA
EPI_ISL_413854_2020-01-30_China-Guangdong_hCoV-19/Guangdong/2020XN4475-P0042/2020,2020-01-30,China
EPI_ISL_413711_2020-02_China-Shandong_hCoV-19/China/WF0014/2020,NA,China
MT050493_2020-01-31_India_SARS-CoV-2/166/human/2020/IND,2020-01-31,India
EPI_ISL_412979_2020-01-18_China-Hubei_BetaCoV/Wuhan/HBCDC-HB-03/2020,2020-01-18,China
Node28,NA,NA
Node29,NA,NA
Node30,NA,NA
Node31,NA,NA
EPI_ISL_407896_2020-01-30_Australia_BetaCoV/Australia/QLD02/2020,2020-01-30,Australia
Node32,NA,NA
Node33,NA,NA
EPI_ISL_413853_2020-01-30_China-Guangdong_hCoV-19/Guangdong/2020XN4243-P0035/2020,2020-01-30,China
Node34,NA,NA
Node35,NA,NA
EPI_ISL_410718_2020-02-05_Australia_BetaCoV/Australia/QLD04/2020,2020-02-05,Australia
EPI_ISL_411954_2020-02-06_UnitedStates_BetaCoV/USA/CA7/2020,2020-02-06,UnitedStates
Node36,NA,NA
EPI_ISL_410717_2020-02-05_Australia_BetaCoV/Australia/QLD03/2020,2020-02-05,Australia
EPI_ISL_410535_2020-02-03_Singapore_BetaCoV/Singapore/4/2020,2020-02-03,Singapore
EPI_ISL_407894_2020-01-28_Australia_BetaCoV/Australia/QLD01/2020,2020-01-28,Australia
Node37,NA,NA
Node38,NA,NA
Node39,NA,NA
EPI_ISL_413791_2020-02_China-Shandong_hCoV-19/China/WF0028/2020,NA,China
Node40,NA,NA
EPI_ISL_413697_2020-02_China-Shandong_hCoV-19/China/WF0012/2020,NA,China
EPI_ISL_413761_2020-02_China-Shandong_hCoV-19/China/WF0026/2020,NA,China
EPI_ISL_407893_2020-01-24_Australia_BetaCoV/Australia/NSW01/2020,2020-01-24,Australia
Node41,NA,NA
Node42,NA,NA
Node43,NA,NA
Node44,NA,NA
EPI_ISL_413746_2020-02_China-Shandong_hCov-19/China/WF0016/2020,NA,China
EPI_ISL_413748_2020-02_China-Shandong_hCoV-19/China/WF0018/2020,NA,China
Node45,NA,NA
