density,pred,size,surv,propsurv,tank
10,no,big,9,0.9,1
10,no,big,10,1,2
10,no,big,7,0.7,3
10,no,big,10,1,4
10,no,small,9,0.9,5
10,no,small,9,0.9,6
10,no,small,10,1,7
10,no,small,9,0.9,8
10,pred,big,4,0.4,9
10,pred,big,9,0.9,10
10,pred,big,7,0.7,11
10,pred,big,6,0.6,12
10,pred,small,7,0.7,13
10,pred,small,5,0.5,14
10,pred,small,9,0.9,15
10,pred,small,9,0.9,16
25,no,big,24,0.96,17
25,no,big,23,0.92,18
25,no,big,22,0.88,19
25,no,big,25,1,20
25,no,small,23,0.92,21
25,no,small,23,0.92,22
25,no,small,23,0.92,23
25,no,small,21,0.84,24
25,pred,big,6,0.24,25
25,pred,big,13,0.52,26
25,pred,big,4,0.16,27
25,pred,big,9,0.36,28
25,pred,small,13,0.52,29
25,pred,small,20,0.8,30
25,pred,small,8,0.32,31
25,pred,small,10,0.4,32
35,no,big,34,0.971428571428571,33
35,no,big,33,0.942857142857143,34
35,no,big,33,0.942857142857143,35
35,no,big,31,0.885714285714286,36
35,no,small,31,0.885714285714286,37
35,no,small,35,1,38
35,no,small,33,0.942857142857143,39
35,no,small,32,0.914285714285714,40
35,pred,big,4,0.114285714285714,41
35,pred,big,12,0.342857142857143,42
35,pred,big,13,0.371428571428571,43
35,pred,big,14,0.4,44
35,pred,small,22,0.628571428571429,45
35,pred,small,12,0.342857142857143,46
35,pred,small,31,0.885714285714286,47
35,pred,small,17,0.485714285714286,48
