Review,Rating,document
"best hotel experience stayed hotels trip italy honeymoon, far best hotel experience small things way staff fussed managing intrude quality rooms breakfasts roof bar price drinks helpfulness, room including size just amazing serviced twice day clean second ready fro night, bathroom times size previous hotel, hotel 75m ponte vecchio middle need wander literally 100m, main piazzas manner prices street entertainment gathers huge crowds terrific, loved florence hotel did nothing enhance aspect stay,",5,12801
"wo n't wrong extremely rare rate hotel excellent, rating average not imply significant negatives, good hotel, hotel caravaggio not fancy, simply good clean generally quiet hotel well-located good value, best feature excellent english-speaking desk assistants, superior, majority people staying hotel americans heard no complaints, bear mind star hotel desk service genuinely helpful attitude, superior room not large certainly large, bathroom small bath tub small spotless, room building got street noise especially early morning, room does not face street probably better, managed enjoyed stay nights, breakfast typical italian star hotel, suggestion improvement real queen-size bed instead single beds pushed, line stay florence,",4,14808
"friendly hotel enjoyed stay orchard garden hotel loved location convenient great restaurants shopping embarcadero public transportation, hotel staff friendly greeting left returned, great making recommendations places eat best way somewhere.we liked modern comfortable look hotel rooms, room smaller used appointed comfortable, bathroom good size clean shower/tub roomy, nice window opened save air conditioning assist green aspect, happy stay totally smoke-free hotel stay returning san francisco,",5,19708
"worst not waste money unless driving big fancy car wo n't notice valet, threw ticket window helped people escalade, helped people cadillac ahead us.there barking dogs hall, called desk, got sorry.housekeeping kind leave extra towel left note.then tejano band playing hours night atrium, hotel n't n't hotel, called police, no hlep, checked close midnight.all got hotel sorry nothing do.we offered nothing trouble absolutely nothing.i not consider correct attitude atmosphere 4 star hotel.we not charged second night valet checked,",1,13884
"great vacation ignore negative travellers, just quick note sirenis cocotal.we travelled april 18-25/06 family friends, travelled extensively throughoutcaribean past years, concerned booking holiday read negative reviews, went hoping comments travellers fussy, amazing holiday, cheapest trip taken, food great italian background food concern, pool awesome, beach beautiful, entertainment entertaining, rooms clean, staff friendly, dined different specialty restaurant night problem reservations approx, 10 minute wait no big deal, lounge chairs bea big problem reviews issue early early walk beach saw upset chairs, took snorkling gear coral reef just feet beach awesome fish incredible love bananas, took cheap disposable underwater camera fantastic.all stayed resorts quality paid 1,000.00 cdnmore person, looking forward sirenis cocotal holiday going book twenty-something yr old kids friends great affordable holiday spot.my sugguestion n't pay mind negative travellers, negative travellers favor stay home,",4,13026
"nice noise issues detract excellence overall thought nice hotel, understated elegance seasons hotels like prague new york, not grand hotel modern contemporary really no wow factor, outstanding service amenities including best hotel gyms, hotel connects sports club la san francisco edition really nice gym spa pool, hotel bar quite nice piano player thought lobby elegant.the hotel great location right near best shopping headache union square, small distance chinatown extension north beach fabulous italian restaurants areas nice safe walks.the service absolutely outstanding better fours seasons stayed, exemplary best way, food restaurant good not fabulous especially san francisco incredible dining choices, room service fast efficient breakfast good morning nothing charts.my complaint pause staying not sufficiently sound proofed, relatively light sleeper sleep ear plugs, ear plugs awakened sirens nights stayed 11th floor, 5 4 star hotels stayed sufficiently sound proofed rooms n't hear sirens city, realize san fran noisy city hotels world noisiest cities not heard city room windows closed, expected seasons note ny, not sure skipped significant shortcoming book.i stayed total 6 hotels san fran, say seasons fairmont favorites city, proably looking, choose seasons fairmont probably chose room bay bridge view fairmont, view just incredible makes difference fairmont 4 star seasons star hotel, just forewarned fairmont old grand hotel bit worn edges old houses lobby restaurant, newer tower remodelled rooms offer views bay bridge request pay, place hotel.i tempted try huntington trip san fran, great ratings tripadvisor nob hill right near fairmont mark hopkins grace cathedral cathedral really worth looking at.in sum seasons quite nice, strong qualities state definetly stay not stay, not light sleeper suspect noise not bother note reviewer commented bells nearby church woke,",5,7970
"miss looking reviews expecting decent hotel, taken note comments, difficult reconcile positive comments hotel hotel stayed makes wonder positive comments connected owners far experience hotel name.its not near beach unless near means far, near nothing actually, room smelly n't walk barefeet carpet feet sticking, ughh.avoid,",1,11690
"excellent hotel location excellent hotel location 10 mins pimlico tube station, glad checked trip advisor site going london paying lots money hotel not matched luna simone time london using great hotel,",4,11736
"great location, really enjoyed staying here.i booked hotel day sightseeing trip barca, paid nights 2 people including breakfast taxes.the hotel great location 5 minutes walk best shops town, prada gucci armani, placa catalonia 10 mins away spot on.the hotel good rooms not big spotless cleaned everyday, lovely fresh towels superb bath monsterously powewrful shower.breakfast superb served 7am 10:30am good early risers beers night, love tea english teabags served breakfast rubbish, set menu restaurant night really nice, courses including really fresh seafood water wine bread 18 euros, felt worth it.the critisisms room doors slam shut people arrive/leave, particulary annoying 6am people left early, door did n't control door left slam behaind not having bracket type things slowly close doors.also air conditioning not working room got quite warm night, told reception does operate time year, march liked on.the hotel busy junction traffic noice completely cancelled double set windows not problem.overall stay sorted slamming doors 5th floor,",4,13411
"looks fool wife stayed bavaro princess hotel dec.03 10th 2005. look lobby filled sense opulent granduer, open air concept marble floors various levels numerous cosy couches chairs 3 courtyards filled ponds grown coconut palm trees various plants numerous mention, checking drink bars caught shuttle fourplex near beach, hungry walked short distance complex beach served various finger foods 12am 6am, things notice dominicans run 24 hour clock, pizza french fries chicken fingers salads fruit wine beer, good fare.the fun started went room, figured hot shower bed, no hot water, apparently pipe burst half resort, problem not fixed days, fixed no acknowlegement staff hotel happened, used using face cloth unless speak spanish maid look like speaking russian ask, n't, key lock wall safe reason, wife left silver bracelet make-up bag room, let just say maid did little cleaning, apart setbacks actually goodtime till night, wife developed stomach infection ate resort, know reason doctor punta cana hospital gave 5:30 morning day left, luckily covered medi-passport employment reimbursed 643.25 services cost, thing not cash traveller checks hotel, change pesos, bank town short walk away,",2,2962
